comparison_id,location,handshape,orientation,movement,notes,round
35,1,0,0,0,,1
48,3,4,4,3,,1
56,2,1,4,3,,1
63,4,4,1,0,,1
82,3,0,0,3,,1
85,5,5,1,4,,1
100,5,0,1,3,,1
130,3,0,2,3,,1
143,5,1,0,3,,1
144,3,4,4,5,,1
172,4,3,4,3,,1
191,4,4,5,5,,1
193,4,2,0,5,,1
203,5,5,5,5,,1
204,0,4,1,0,,1
206,1,3,2,0,"? How to rate the movement, is this part of orientation or movement category?)",1
211,5,5,5,4,,1
237,3,4,5,5,,1
241,5,0,5,5,,1
260,3,1,1,0,"? How to rate the movement, is this part of orientation or movement category?)",1
264,2,2,3,2,"? How to rate the movement, is this part of orientation or movement category? // PP on the right uses both hands, left pp only LH",1
272,4,4,3,3,,1
302,5,5,3,5,,1
312,3,3,1,0,,1
325,4,5,4,5,,1
379,5,0,2,5,,1
381,5,3,4,4,,1
384,4,1,2,3,,1
392,1,1,1,0,,1
415,3,3,3,0,,1
426,4,4,4,2,,1
433,1,0,0,0,,1
469,5,3,2,5,,1
475,2,3,3,4,,1
479,0,0,0,0,,1
509,3,3,4,1,,1
511,5,4,4,5,,1
525,1,2,2,3,,1
540,2,5,5,3,,1
559,3,4,3,5,,1
583,4,4,4,4,,1
604,4,2,2,3,,1
613,5,0,1,2,,1
653,3,0,2,1,,1
679,5,5,5,5,,1
700,4,0,0,1,"? How to rate the movement, is this part of orientation or movement category?)",1
719,2,4,2,3,,1
725,4,2,2,1,,1
741,4,5,5,5,,1
757,4,5,5,1,,1
758,5,4,4,3,"mirrored gesture, one pp uses both hands other only one",1
765,4,4,5,4,,1
767,3,3,1,1,,1
768,3,0,0,4,,1
769,4,2,4,3,"right pp uses both hands, left pp only RH",1
774,5,4,4,3,"mirrored gesture, one pp uses both hands other only one (same as 758)",1
776,4,3,2,3,,1
782,5,4,5,4,,1
789,2,1,0,0,,1
808,4,4,5,4,,1
835,1,4,4,4,,1
841,4,5,5,3,,1
867,5,4,4,5,,1
871,1,0,0,0,,1
876,4,4,2,4,,1
889,3,3,3,0,,1
892,3,4,3,3,,1
895,3,0,0,1,,1
900,3,3,4,2,,1
906,5,5,5,4,,1
912,5,2,5,4,,1
933,4,1,0,1,,1
938,4,1,0,4,,1
941,4,0,1,2,,1
983,2,0,0,0,,1
997,4,5,4,4,,1
1000,1,2,0,0,,1
1004,4,3,0,3,"left pp uses both hands, right pp only LH",1
1013,3,2,3,3,"left pp uses both hands, right pp only LH",1
1020,4,4,4,4,,1
1032,5,2,1,2,,1
1055,4,3,3,4,"left pp uses both hands, right pp only RH",1
1068,1,4,3,1,,1
1070,1,3,0,1,,1
1072,0,3,1,2,"left pp uses both hands, right pp only LH",1
1077,3,5,4,5,,1
1082,4,4,4,5,,1
1099,1,3,0,0,,1
1152,5,4,5,5,,1
1156,4,1,0,0,,1
1157,0,0,0,0,,1
1172,2,0,0,4,movement is mirrored,1
1174,5,4,5,4,gesture is mirrored,1
1195,0,2,2,0,,1
1209,3,2,1,2,,1
1248,3,3,1,3,gesture is mirrored,1
1250,4,5,5,4,,1
1254,3,4,4,4,,1
1272,3,1,1,3,,1
1302,2,0,1,4,,1
2,1,3,2,1,,2
9,3,0,0,0,mirrored,2
16,5,4,4,4,,2
19,5,4,5,5,,2
21,3,1,2,0,"left pp used both hands, right pp only RH",2
24,3,2,0,2,mirrored,2
29,2,0,0,1,,2
30,3,4,0,4,mirrored,2
31,5,4,5,2,"left pp used both hands, right pp only RH",2
34,5,0,1,1,,2
38,5,1,1,4,mirrored,2
43,3,0,0,0,hand person on the right is partially covered by her cardigan (therefore handshape/orientation hard to see exactly),2
51,5,4,4,5,,2
54,4,5,5,5,,2
57,5,2,4,3,,2
62,1,0,0,0,"hands person on the right are partially covered by her cardigan, so handshape/orientation can't be determined properly",2
70,0,1,1,0,"righ pp uses both hands, left pp only RH, therefore hard to rate (handshape RH of both persons matches a little)",2
78,5,0,1,2,trajectory movement somewhat similar,2
80,5,5,4,3,,2
83,5,5,5,5,,2
96,3,5,5,5,,2
97,1,4,2,5,,2
99,3,4,1,3,,2
102,4,5,4,5,,2
106,3,0,0,4,,2
107,2,2,0,0,,2
114,5,0,0,4,mirrored,2
115,4,2,1,2,"right pp uses both hands, left pp only RH",2
118,5,5,5,5,,2
121,4,2,3,5,,2
125,3,5,5,5,,2
127,2,2,0,3,"left pp uses both hands, right pp only LH, trajectory movement kind of similar",2
133,5,4,5,2,,2
136,5,1,4,4,mirrored,2
139,5,0,0,3,location: they cover the same area but in a different way,2
148,5,5,0,4,,2
152,4,4,4,5,,2
155,4,4,2,3,"left pp uses both hands, right pp only RH",2
159,5,3,3,3,,2
161,5,0,4,5,,2
163,5,1,1,2,,2
171,5,4,3,5,,2
181,2,3,2,2,"left pp uses both hands, right pp only RH",2
182,5,4,5,5,,2
184,4,1,2,1,,2
187,4,1,1,0,,2
198,5,5,1,5,,2
199,2,3,1,1,,2
209,0,0,0,0,,2
210,3,0,0,0,,2
222,5,3,5,5,"left pp uses both hand, right pp only left hand, mirrored",2
225,3,3,2,2,"left pp uses both hand, right pp only left hand, mirrored",2
227,5,4,5,4,,2
230,5,5,5,5,,2
231,5,0,0,2,,2
245,1,3,5,0,"right pp used both hands, left person only left hand",2
248,0,0,0,0,,2
250,5,3,1,3,,2
252,5,5,5,5,,2
257,0,0,0,0,,2
262,4,0,3,3,"right pp uses both hands, left person only left hand",2
274,5,0,0,4,mirrored,2
277,5,5,5,5,,2
282,3,4,2,0,,2
283,4,3,5,2,,2
286,2,3,1,3,,2
287,3,5,5,2,,2
292,4,3,4,0,,2
295,4,1,2,0,mirrored,2
298,4,0,0,2,,2
306,5,4,0,4,mirrored,2
308,5,2,3,4,,2
316,2,5,2,0,,2
318,5,2,0,2,,2
322,4,3,4,2,,2
329,4,0,0,3,"left pp uses both hands, right pp uses only RH",2
333,2,4,2,0,,2
336,3,0,1,0,,2
339,4,5,4,3,"left pp uses (partially) both hands, righ pp uses only left hand",2
342,5,5,5,5,mirrored,2
344,4,5,5,1,mirrored,2
348,5,4,0,2,,2
352,2,5,2,2,,2
355,5,0,4,5,,2
358,4,4,4,5,"left pp used both hands, right pp only right hand",2
360,5,4,5,1,,2
366,5,3,0,0,,2
369,5,5,5,3,,2
370,5,0,4,4,,2
373,5,0,0,1,,2
388,5,0,5,5,,2
394,4,5,5,5,,2
397,3,2,4,5,"right pp uses both hands, left pp only RH",2
399,1,0,4,0,,2
404,4,4,2,2,,2
405,5,1,5,5,,2
406,5,5,4,2,"left pp uses both hands, right pp only RH",2
408,5,5,5,5,,2
409,4,4,5,2,mirrored,2
410,5,0,4,3,,2
413,5,0,0,1,,2
416,5,0,3,5,,2
421,3,0,0,4,"left pp uses both hands, right pp only right hand",2
423,0,2,0,0,,2
424,4,4,3,0,,2
425,3,2,4,2,"left pp uses both hands, right pp only RH",2
436,5,4,5,3,,2
438,4,3,5,1,"left pp used both hands, right pp only RH",2
445,4,3,5,1,"almost the same as 438 (clip girl exactly the same, clip guy only slightly different)",2
457,5,4,5,5,,2
460,5,5,3,4,"right pp uses both hands, left pp only RH",2
461,5,3,2,5,,2
470,4,5,5,0,,2
478,5,2,5,4,"right pp uses both hands, left only RH, mirrored",2
482,2,4,1,0,,2
483,2,4,1,0,seems exactly the same as 482,2
484,5,5,5,5,,2
485,5,4,5,4,mirrored,2
486,2,2,0,2,,2
501,5,5,5,2,,2
507,5,3,3,4,,2
514,5,5,5,5,,2
518,4,0,0,5,,2
521,4,4,5,4,,2
527,3,4,0,5,mirrored,2
532,4,3,5,3,,2
536,4,3,4,5,"right pp uses both hands, left person only RH",2
543,0,1,0,0,"right pp uses both hands, left person only LH",2
544,0,4,0,3,mirrored,2
545,1,4,2,0,,2
549,5,5,0,4,,2
550,4,2,0,3,,2
556,4,4,5,5,,2
561,2,0,0,0,,2
563,2,5,4,0,,2
564,1,3,0,0,,2
570,2,0,0,5,,2
571,5,0,0,5,,2
577,2,5,2,0,mirrored,2
589,4,5,3,5,,2
592,3,5,5,5,mirrored,2
597,5,5,0,5,"right pp uses both hands, left pp only RH",2
598,5,0,0,1,,2
606,0,3,2,0,,2
608,3,4,5,5,,2
616,4,2,4,0,,2
619,5,0,0,5,,2
621,1,0,3,0,mirrored,2
626,2,4,4,4,mirrored,2
630,2,0,0,0,"right pp uses both hands, left pp only right hand",2
637,4,5,5,5,"right person uses both hands, left pp only right hand",2
639,3,4,2,4,,2
642,3,5,5,4,"right pp uses both hands, left pp only right hand",2
646,2,0,0,0,,2
647,2,5,5,5,mirrored,2
651,2,0,0,4,,2
657,3,5,4,4,"right pp uses both hands, left pp only right hand",2
664,4,2,2,1,,2
666,5,5,5,4,mirrored,2
667,5,5,5,5,"left pp uses both hands, right pp on ly RH",2
670,5,5,5,5,,2
675,5,0,2,2,mirrored,2
683,4,5,5,4,mirrored,2
686,5,0,3,5,,2
689,3,3,5,3,,2
692,2,3,2,1,,2
695,4,5,3,4,,2
697,4,5,5,5,,2
704,1,4,0,0,,2
709,3,5,5,2,,2
713,4,2,4,4,,2
717,3,4,3,4,,2
720,0,4,2,0,"right pp uses both hands, left pp only uses RH",2
728,1,2,0,2,,2
730,5,5,5,4,,2
737,0,0,0,0,,2
738,0,2,0,0,,2
745,5,2,5,4,,2
749,5,5,4,4,,2
760,5,5,4,4,"seems almost the same as 749 (person in pink t-shirt is exactly the same recording, other one almost)? ",2
778,4,0,2,0,,2
786,5,2,4,5,,2
791,1,4,3,0,"left pp uses both hands (static), right person only uses RH",2
794,4,4,5,3,,2
799,5,2,0,2,left pp: at 4 secs there's another stroke which does not belong to this vid I think [did not take this part into account in my rating!]?,2
800,5,2,0,0,"seems almost the same as 800 (person in yinyang t-shirt exactly the same, other slightly different [video cut]?",2
802,2,0,0,0,,2
804,5,5,4,5,,2
805,5,5,5,4,,2
810,4,0,4,4,"right pp uses both hands, left pp only RH",2
814,4,5,1,5,mirrored,2
818,4,0,0,0,,2
828,5,0,0,5,,2
830,5,5,4,3,,2
836,2,4,0,0,,2
845,1,0,0,2,,2
847,3,4,2,0,,2
850,2,0,2,2,"left pp uses both hands, right person only RH; mirrored",2
852,5,3,4,5,"left pp uses both hands, right person only RH",2
854,5,4,5,5,,2
856,4,5,5,3,,2
862,5,4,5,0,,2
864,4,0,0,1,,2
865,5,5,0,4,,2
873,4,4,0,0,,2
888,4,3,0,0,"right pp used both hands, left pp only left hand",2
899,4,5,0,5,,2
903,4,0,3,4,,2
909,4,0,0,4,,2
911,5,2,5,4,,2
916,4,0,3,2,,2
922,5,2,3,4,mirrored,2
926,1,2,0,0,,2
931,5,0,5,0,,2
946,3,1,0,1,"left pp uses both hands, right pp only RH",2
953,5,0,0,0,,2
955,4,5,5,3,,2
958,5,5,4,1,,2
961,4,5,5,2,,2
963,3,0,3,0,"right pp uses both hands, left pp only RH",2
967,1,0,0,1,both a very short forward (beatlike) movement,2
969,5,0,0,0,,2
970,4,5,5,4,,2
971,0,0,0,0,,2
976,5,3,4,2,mirrored,2
980,5,4,5,4,,2
982,4,4,5,2,,2
988,4,0,5,3,mirrored,2
993,0,0,4,0,"left pp: both arms/hands involved, right person only LH involved",2
995,5,0,0,2,,2
1005,5,5,5,4,"right pp: uses both hands, left pp only LH",2
1012,5,0,0,4,,2
1015,3,5,5,5,,2
1017,2,0,4,0,"left pp uses both hands, right pp only RH",2
1021,5,5,5,4,,2
1025,5,5,3,0,,2
1027,2,0,0,0,,2
1028,4,4,5,5,"left pp uses both hands, right pp only RH",2
1036,4,0,0,4,"right pp uses both hands, left pp only RH",2
1041,2,0,2,0,"almost the same as 1027 (clip of girl with black hair seems exactly the same, other very similar)",2
1046,3,4,2,0,"right pp uses both hand (static), left pp only RH",2
1047,4,4,3,0,"right pp uses both hands, left person only RH",2
1058,3,0,3,2,,2
1063,5,0,4,2,,2
1069,4,5,5,4,,2
1085,2,5,0,0,,2
1092,2,0,0,1,,2
1093,4,5,3,1,,2
1097,0,4,2,4,"mirrored, handshape right pp hard to see but seems similar",2
1100,5,0,0,0,,2
1105,5,4,5,4,,2
1107,4,0,5,0,"left pp uses both hands, right person only LH",2
1108,0,2,2,0,mirrored,2
1112,0,0,4,0,,2
1115,0,0,0,0,mirrored,2
1124,0,0,0,0,"right person uses both hands (static), left person only RH",2
1128,5,4,1,1,"right person uses both hands, left person only RH. Handshape similar, but LHorientation & movement  not",2
1129,0,1,0,1,mirrored,2
1132,4,1,3,4,mirrored,2
1136,3,0,3,4,"almost the same as 1132 (clip of the girl is the same, that of the guy slightly different); mirrored",2
1140,0,5,0,1,"left pp uses both hands, right person only LH",2
1144,5,4,0,3,,2
1147,5,3,4,3,,2
1150,2,5,4,5,,2
1161,5,3,2,4,,2
1168,4,2,0,2,,2
1175,4,0,2,0,,2
1180,5,4,3,0,,2
1184,2,1,0,0,"left pp uses both hands, right person only LH",2
1186,5,4,4,5,,2
1190,5,1,0,2,,2
1191,4,4,5,3,,2
1196,5,2,0,3,,2
1197,3,0,4,2,"left pp uses both hands, right person only RH",2
1198,5,4,4,2,handshape pp on the left is hard to see but probably similar ,2
1201,5,2,5,0,,2
1210,5,3,4,5,,2
1212,3,0,2,0,mirrored,2
1214,5,0,4,4,,2
1215,5,0,4,4,exactly the same as 1215!,2
1221,5,4,4,5,,2
1226,4,0,0,5,"left pp uses both hands, right pp only LH",2
1230,4,3,4,2,"both seem to make a downward movement, however right pp much more pronounced",2
1233,3,5,5,0,,2
1234,0,4,0,0,"left pp uses both hands, right pp only LH",2
1246,5,2,4,4,handshape pp on the left is hard to see but seems somewhat similar in the 2nd part of movement,2
1255,5,5,0,4,,2
1256,5,5,5,3,mirrored,2
1257,5,0,3,0,"left pp uses both hands, right person only LH",2
1260,4,2,0,0,,2
1268,4,4,0,4,,2
1274,3,3,0,0,"left pp is a bit closer to the camera than other pp's, therefore location a bit difficult to compare",2
1275,3,5,3,3,"mirrored, handshape a bit hard to see but seem similar",2
1279,2,5,1,0,,2
1280,4,0,5,0,,2
1283,2,0,0,2,,2
1286,5,5,5,2,mirored,2
1290,5,2,0,0,"handshape right pp difficult to see due to hand orientation, but probably some similarity",2
1299,5,5,5,5,,2
1303,2,3,0,5,,2
